"ID","EDAD","GENERO","EST_MARITAL","HIJOS","INGRESO","TARJETAS","PRESTAMOS","PAGO","HIPOTECA","RIESGO"
100426,35,"Masculino","Casado",NA,27933,1,1,"Mensual","Si","Bajo"
100771,45,"Masculino","Casado",0,28840,1,0,"Mensual","Si","Alto"
100607,40,NA,"Casado",0,29816,2,0,"Mensual","Si","Bajo"
100608,40,"Masculino","Casado",0,30273,1,0,"Mensual","Si","Bajo"
100773,NA,"Masculino","Casado",0,32977,2,1,"Mensual","Si","Alto"
100734,44,"Masculino","Casado",0,33454,1,1,"Mensual",NA,"Alto"
100462,36,"Masculino","Casado",0,34288,1,NA,"Mensual","Si","Bajo"
100709,43,"Masculino",NA,0,36255,2,1,"Mensual","Si","Alto"
100572,39,"Masculino","Casado",0,NA,2,0,"Mensual","Si","Alto"
100301,31,"Masculino","Casado",0,39696,1,NA,"Mensual","Si","Bajo"
NA,39,"Masculino","Casado",0,40057,1,1,"Mensual","Si","Bajo"
100648,41,"Masculino","Casado",0,NA,1,1,"Mensual","Si","Bajo"
100297,30,"Masculino","Casado",0,40263,2,NA,"Mensual","Si","Alto"
100401,34,"Masculino","Casado",0,40340,2,1,"Mensual","Si","Alto"
100743,44,"Masculino","Casado",0,40390,1,1,"Mensual","Si","Bajo"
100538,37,"Masculino","Casado",0,40398,2,1,"Mensual","Si","Alto"
100738,44,"Masculino","Casado",0,40425,1,1,"Mensual","Si","Bajo"
NA,37,"Masculino","Casado",0,40446,2,1,NA,"Si","Bajo"
100584,39,"Masculino","Casado",0,40693,2,0,"Mensual","Si","Bajo"
100504,NA,"Masculino","Casado",0,40875,1,0,"Mensual","Si","Alto"
100544,38,"Masculino","Casado",0,NA,2,1,"Mensual","Si","Alto"
100610,40,"Masculino","Casado",NA,40912,1,0,"Mensual","Si","Alto"
100740,44,"Masculino","Casado",NA,41048,1,1,"Mensual","Si","Alto"
100783,45,NA,"Casado",0,41091,2,1,"Mensual","Si","Alto"
100395,34,"Masculino","Casado",NA,41159,2,0,"Mensual","Si","Alto"
100404,NA,"Masculino","Casado",0,41223,2,1,NA,"Si","Alto"
NA,30,"Masculino","Casado",NA,41281,1,1,"Mensual",NA,"Alto"
100513,37,"Masculino","Casado",0,NA,NA,1,"Mensual","Si","Alto"
100278,30,"Masculino","Casado",0,41624,2,1,"Mensual","Si","Alto"
100483,NA,"Masculino","Casado",0,41725,2,1,"Mensual","Si","Alto"
100393,34,"Masculino","Casado",0,41766,1,NA,"Mensual","Si","Bajo"
100475,36,"Masculino","Casado",0,41767,2,0,"Mensual","Si","Alto"
NA,38,"Masculino",NA,0,41769,2,1,"Mensual","Si","Bajo"
100455,35,"Masculino","Casado",0,41793,2,0,NA,"Si","Alto"
100464,36,"Masculino",NA,0,41834,1,0,"Mensual","Si","Alto"
100339,32,"Masculino","Casado",0,41879,1,0,"Mensual","Si","Alto"
100340,32,"Masculino","Casado",NA,41921,1,0,"Mensual","Si","Alto"
100291,30,"Masculino",NA,0,41935,2,0,"Mensual","Si","Alto"
100747,NA,"Masculino",NA,NA,42078,2,1,"Mensual","Si","Alto"
100281,30,"Masculino","Casado",0,42119,1,1,"Mensual","Si","Alto"
100617,40,"Masculino","Casado",0,42143,2,0,"Mensual",NA,"Bajo"
100479,36,"Masculino","Casado",NA,42175,1,1,"Mensual","Si","Alto"
100644,41,NA,"Casado",0,42309,1,1,NA,"Si","Bajo"
100332,32,"Masculino",NA,0,42389,1,0,"Mensual","Si","Alto"
100474,36,"Masculino","Casado",0,42422,1,0,"Mensual","Si","Alto"
100331,32,"Masculino","Casado",0,42438,1,0,"Mensual","Si","Alto"
100791,45,"Masculino","Casado",0,42464,2,1,"Mensual","Si","Alto"
100480,36,"Masculino","Casado",0,42522,2,0,"Mensual","Si","Alto"
