age;job;balance;loan;marital;education;default;housing;contact;campaign;deposit
59;admin.;2343;no;married;secondary;no;yes;unknown;1;yes
56;admin.;45;no;married;secondary;no;no;unknown;1;yes
41;technician;1270;no;married;secondary;no;yes;unknown;1;yes
55;services;2476;no;married;secondary;no;yes;unknown;1;yes
54;NA;NA;no;married;tertiary;no;no;unknown;2;yes
42;management;0;yes;single;tertiary;no;yes;unknown;2;yes
56;management;830;yes;married;tertiary;no;yes;unknown;1;yes
60;retired;NA;no;divorced;secondary;no;yes;unknown;1;yes
37;NA;1;no;married;secondary;no;yes;unknown;1;yes
28;services;5090;no;single;secondary;no;yes;unknown;3;yes
38;admin.;NA;no;single;secondary;no;yes;unknown;1;yes
30;blue-collar;309;no;married;secondary;no;yes;unknown;2;yes
29;management;199;yes;married;tertiary;no;yes;unknown;4;yes
145;blue-collar;460;no;single;tertiary;no;yes;unknown;2;yes
NA;technician;703;no;single;tertiary;no;yes;unknown;2;yes
35;management;3837;no;divorced;tertiary;no;yes;unknown;1;yes
32;blue-collar;611;no;single;primary;no;yes;unknown;3;yes
49;services;-8;no;married;secondary;no;yes;unknown;1;yes
41;admin.;NA;no;married;secondary;no;yes;unknown;2;yes
2;admin.;168;yes;divorced;secondary;no;yes;unknown;1;yes
2;admin.;785;no;divorced;secondary;no;yes;unknown;2;yes
43;management;2067;no;single;tertiary;no;yes;unknown;1;yes
43;management;388;no;divorced;tertiary;no;yes;unknown;2;yes
43;blue-collar;-192;no;married;primary;no;yes;unknown;2;yes
22312;unemployed;381;no;single;secondary;no;yes;unknown;2;yes
35;blue-collar;40;no;single;secondary;no;yes;unknown;4;yes
31;technician;22;no;single;tertiary;no;yes;unknown;3;yes
43;blue-collar;3;no;single;secondary;no;yes;unknown;3;yes
31;admin.;307;no;married;secondary;no;yes;unknown;1;yes
28;blue-collar;759;no;single;secondary;no;yes;unknown;1;yes
32;blue-collar;-1;no;married;secondary;yes;yes;unknown;1;yes
60;technician;65;no;married;primary;no;yes;unknown;2;yes
26;blue-collar;82;no;single;secondary;no;yes;unknown;1;yes
40;blue-collar;10;no;married;secondary;no;yes;unknown;2;yes
33;blue-collar;390;NA;divorced;primary;no;yes;unknown;2;yes
32;management;311;no;single;tertiary;no;no;unknown;2;yes
35;NA;414;no;married;primary;no;no;unknown;4;yes
NA;management;5;no;divorced;secondary;no;yes;unknown;1;yes
38;management;119;no;married;tertiary;no;yes;unknown;4;yes
23;entrepreneur;4;no;single;primary;no;yes;unknown;2;yes
60;blue-collar;1262;yes;married;primary;no;yes;unknown;1;yes
48;management;NA;no;married;tertiary;no;yes;unknown;2;yes
45;entrepreneur;-395;no;divorced;tertiary;no;yes;unknown;1;yes
