age;job;marital;education;default;balance;housing;loan;contact;campaign;deposit
59;admin.;married;secondary;no;2343;yes;no;unknown;1;yes
56;admin.;married;secondary;no;45;no;no;unknown;1;yes
41;technician;married;secondary;no;1270;yes;no;unknown;1;yes
55;services;married;secondary;no;2476;yes;no;unknown;1;yes
54;admin.;married;tertiary;no;184;no;no;unknown;2;yes
42;management;single;tertiary;no;0;yes;yes;unknown;2;yes
56;management;married;tertiary;no;830;yes;yes;unknown;1;yes
60;retired;divorced;secondary;no;545;yes;no;unknown;1;yes
37;technician;married;secondary;no;1;yes;no;unknown;1;yes
28;services;single;secondary;no;5090;yes;no;unknown;3;yes
38;admin.;single;secondary;no;100;yes;no;unknown;1;yes
30;blue-collar;married;secondary;no;309;yes;no;unknown;2;yes
29;management;married;tertiary;no;199;yes;yes;unknown;4;yes
145;blue-collar;single;tertiary;no;460;yes;no;unknown;2;yes
31;technician;single;tertiary;no;703;yes;no;unknown;2;yes
35;management;divorced;tertiary;no;3837;yes;no;unknown;1;yes
32;blue-collar;single;primary;no;611;yes;no;unknown;3;yes
49;services;married;secondary;no;-8;yes;no;unknown;1;yes
41;admin.;married;secondary;no;55;yes;no;unknown;2;yes
2;admin.;divorced;secondary;no;168;yes;yes;unknown;1;yes
2;admin.;divorced;secondary;no;785;yes;no;unknown;2;yes
43;management;single;tertiary;no;2067;yes;no;unknown;1;yes
43;management;divorced;tertiary;no;388;yes;no;unknown;2;yes
43;blue-collar;married;primary;no;-192;yes;no;unknown;2;yes
22312;unemployed;single;secondary;no;381;yes;no;unknown;2;yes
35;blue-collar;single;secondary;no;40;yes;no;unknown;4;yes
31;technician;single;tertiary;no;22;yes;no;unknown;3;yes
43;blue-collar;single;secondary;no;3;yes;no;unknown;3;yes
31;admin.;married;secondary;no;307;yes;no;unknown;1;yes
28;blue-collar;single;secondary;no;759;yes;no;unknown;1;yes
32;blue-collar;married;secondary;yes;-1;yes;no;unknown;1;yes
60;technician;married;primary;no;65;yes;no;unknown;2;yes
26;blue-collar;single;secondary;no;82;yes;no;unknown;1;yes
40;blue-collar;married;secondary;no;10;yes;no;unknown;2;yes
33;blue-collar;divorced;primary;no;390;yes;no;unknown;2;yes
32;management;single;tertiary;no;311;no;no;unknown;2;yes
35;blue-collar;married;primary;no;414;no;no;unknown;4;yes
33;management;divorced;secondary;no;5;yes;no;unknown;1;yes
38;management;married;tertiary;no;119;yes;no;unknown;4;yes
23;entrepreneur;single;primary;no;4;yes;no;unknown;2;yes
60;blue-collar;married;primary;no;1262;yes;yes;unknown;1;yes
48;management;married;tertiary;no;1949;yes;no;unknown;2;yes
45;entrepreneur;divorced;tertiary;no;-395;yes;no;unknown;1;yes
36;blue-collar;married;secondary;no;1165;yes;no;unknown;4;yes
52;management;married;unknown;no;2240;yes;no;unknown;1;yes
35;blue-collar;divorced;primary;no;300;yes;no;unknown;2;yes
43;technician;married;secondary;no;3285;yes;no;unknown;2;yes
52;housemaid;married;secondary;no;3923;yes;no;unknown;3;yes
53;technician;divorced;primary;no;1443;yes;no;unknown;1;yes
48;blue-collar;divorced;primary;no;24;yes;no;unknown;1;yes
41;blue-collar;single;primary;no;1618;yes;no;unknown;1;yes
39;management;divorced;tertiary;no;517;yes;yes;unknown;1;yes
59;retired;married;secondary;no;1521;yes;yes;unknown;2;yes
41;blue-collar;married;secondary;no;2823;yes;no;unknown;1;yes
48;blue-collar;married;secondary;no;1405;yes;no;unknown;2;yes
40;admin.;married;secondary;no;1535;yes;no;unknown;1;yes
48;blue-collar;married;secondary;no;1596;yes;no;unknown;1;yes
60;retired;married;primary;no;1542;yes;no;unknown;1;yes
40;technician;single;unknown;no;3652;yes;no;unknown;2;yes
57;technician;married;tertiary;no;-1;no;no;unknown;2;yes
51;blue-collar;married;secondary;no;7180;yes;no;unknown;1;yes
41;blue-collar;divorced;secondary;no;5291;yes;no;unknown;3;yes
41;blue-collar;married;secondary;no;1384;yes;no;unknown;4;yes
52;blue-collar;divorced;primary;no;-191;yes;no;unknown;1;yes
59;blue-collar;married;primary;no;320;yes;no;unknown;1;yes
44;blue-collar;married;unknown;no;146;yes;no;unknown;1;yes
49;unknown;married;primary;no;341;yes;yes;unknown;2;yes
40;services;married;primary;no;-9;yes;no;unknown;2;yes
41;admin.;married;primary;no;-306;yes;no;unknown;1;yes
44;technician;married;tertiary;no;4580;yes;no;unknown;2;yes
60;services;single;primary;no;313;yes;no;unknown;2;yes
29;management;married;tertiary;no;10576;no;no;unknown;2;yes
41;retired;divorced;primary;no;-233;yes;no;unknown;2;yes
41;blue-collar;married;primary;no;2453;yes;no;unknown;1;yes
42;technician;single;secondary;no;1364;yes;no;unknown;6;yes
36;services;single;unknown;no;281;yes;no;unknown;1;yes
39;technician;married;tertiary;no;94;yes;yes;unknown;1;yes
31;self-employed;single;tertiary;no;144;yes;no;unknown;1;yes
26;blue-collar;married;secondary;no;246;yes;no;unknown;3;yes
31;blue-collar;married;secondary;no;92;yes;no;unknown;1;yes
29;admin.;single;secondary;no;163;yes;yes;unknown;1;yes
37;services;divorced;secondary;no;49;yes;no;unknown;2;yes
33;blue-collar;single;secondary;no;-416;yes;no;unknown;2;yes
24;technician;single;secondary;no;409;yes;no;unknown;1;yes
50;admin.;divorced;secondary;no;363;yes;no;unknown;1;yes
27;technician;single;tertiary;no;3706;yes;no;unknown;1;yes
54;management;single;tertiary;no;4393;yes;no;unknown;3;yes
30;technician;single;secondary;no;863;yes;no;unknown;5;yes
34;blue-collar;married;primary;no;695;yes;yes;unknown;4;yes
37;management;single;secondary;no;792;yes;no;unknown;4;yes
41;admin.;single;secondary;no;1020;yes;no;unknown;1;yes
47;blue-collar;married;secondary;no;863;yes;no;unknown;2;yes
