DEFAULT;GENDER;AGE;CITIZEN;PART;INCOME;BALANCE
No;Female;45;GE;No;36,342.9;1,683.2
No;Male;36;GE;No;48,772.4;753.6
No;Male;43;FR;No;28,502.4;992.1
No;Male;37;DE;No;47,487.3;627.2
Yes;Male;35;GE;No;31,766.6;697.9
No;Male;38;UK;No;55,935.7;1,569.5
No;Female;41;GE;No;24,079.0;1,455.8
No;Male;41;UK;Yes;19,609.8;528.8
No;Male;41;FR;No;36,086.7;1,271.7
No;Female;34;FR;Yes;11,104.6;1,544.7
Yes;Male;46;SP;No;47,317.1;1,435.1
Yes;Male;32;IT;No;36,444.2;1,489.2
Yes;Male;41;HO;Yes;17,664.1;2,177.2
Yes;Male;30;GE;No;26,144.6;1,606.0
No;Male;40;FR;No;44,421.4;730.7
No;Male;44;DE;No;38,358.0;846.6
No;Female;37;FR;No;43,483.2;890.0
No;Female;38;GE;Yes;25,573.7;1,406.9
No;Male;35;IT;No;44,736.2;917.5
No;Male;46;FR;No;38,717.7;612.2
Yes;Male;33;UK;No;39,235.2;1,624.4
No;Male;37;FR;No;41,194.9;266.1
No;Male;41;SP;No;37,086.2;1,594.8
No;Male;39;SP;Yes;27,069.3;471.0
No;Male;38;GR;Yes;7,393.7;836.0
No;Male;43;GE;Yes;14,353.1;379.2
No;Male;40;FR;Yes;22,663.5;313.6
Yes;Female;35;UK;No;50,925.0;2,040.9
No;Male;34;SP;No;54,849.9;1,491.1
No;Male;47;GE;No;37,476.6;950.8
No;Female;41;IT;Yes;21,518.4;768.5
No;Female;42;GE;No;33,289.9;1,174.4
No;Male;48;SP;No;55,705.5;1,364.2
Yes;Male;33;UK;Yes;15,164.1;1,721.4
No;Male;42;UK;No;33,297.5;101.5
Yes;Male;31;GE;Yes;14,288.3;2,204.2
No;Male;41;UK;No;37,357.3;248.5
No;Male;37;GE;No;30,099.6;340.3
No;Male;44;UK;No;39,921.0;528.0
No;Male;37;UK;No;36,601.9;507.5
No;Female;38;GE;Yes;14,278.1;890.7
No;Male;37;FR;No;38,072.2;1,256.2
No;Male;34;FR;No;36,996.4;1,635.5
No;Female;38;SP;No;31,160.8;678.0
No;Male;43;GE;No;48,794.2;68.0
No;Male;41;IT;Yes;21,719.9;530.4
No;Male;40;IT;No;18,953.3;246.9
Yes;Male;37;GE;Yes;14,876.4;1,237.3
No;Male;40;DE;No;49,389.9;1,061.8
No;Male;35;FR;No;39,669.7;1,616.0
No;Male;41;UK;No;31,427.7;5.5
No;Male;41;FR;No;29,172.5;505.3
No;Male;44;IT;No;33,759.6;742.7
No;Female;44;UK;No;54,054.8;362.3
No;Female;42;GE;Yes;25,053.7;563.2
No;Male;46;GE;No;33,695.6;555.8
No;Male;43;GE;No;29,304.9;25.4
No;Female;36;UK;No;52,794.9;1,086.4
No;Male;44;GE;No;47,740.0;1,413.3
No;Male;38;SP;No;26,356.7;450.0
No;Male;36;GE;Yes;22,706.8;395.5
No;Male;38;SP;No;52,211.8;588.0
No;Female;42;SP;No;49,126.5;270.3
No;Male;38;GE;No;42,058.1;1,145.6
Yes;Male;37;GE;Yes;16,594.2;1,881.9
No;Male;40;UK;No;37,638.7;540.5
No;Male;35;GE;No;37,754.1;1,362.1
No;Male;34;GE;No;56,547.4;1,005.5
No;Male;42;GE;No;40,625.4;750.2
No;Male;47;GE;No;52,272.0;653.6
No;Male;55;UK;No;47,824.5;896.8
No;Male;47;GE;No;51,726.2;561.7
No;Male;37;SP;Yes;13,626.9;997.4
No;Male;41;GE;Yes;17,772.3;1,255.4
No;Male;35;UK;No;54,841.0;656.7
No;Male;44;SP;No;54,009.1;1,053.4
No;Male;36;FR;No;54,407.1;144.1
No;Male;42;GR;Yes;14,297.6;764.5
Yes;Male;39;FR;No;45,013.3;2,032.1
No;Male;39;FR;No;34,912.8;1,062.9
No;Male;35;UK;Yes;15,646.0;147.1
No;Male;49;FR;No;32,470.0;1,484.0
No;Male;42;GR;No;51,714.6;5.0
No;Female;37;DE;No;35,097.6;708.9
No;Male;41;UK;Yes;18,414.3;1,889.8
No;Male;49;UK;No;58,067.1;829.5
No;Male;37;UK;No;48,290.5;742.3
No;Male;37;IT;Yes;14,649.3;721.8
No;Male;44;UK;Yes;12,269.7;1,235.9
No;Male;36;GE;No;25,932.4;1,205.5
No;Male;36;FR;No;36,972.4;5.6
No;Female;49;SP;No;38,165.1;675.2
No;Male;38;UK;Yes;20,753.8;755.3
No;Male;40;IT;No;48,931.7;895.8
Yes;Male;33;UK;No;48,965.7;1,751.2
No;Male;38;SP;No;49,635.5;446.5
No;Female;32;UK;No;37,695.3;601.8
No;Female;45;UK;No;33,714.4;555.2
No;Male;37;GE;Yes;12,330.3;324.1
No;Male;38;GE;No;52,411.4;639.2
No;Male;34;UK;No;44,487.1;845.4
No;Male;37;DE;No;46,850.0;330.9
No;Female;35;HO;No;47,047.2;1,474.7
No;Female;42;GR;No;36,488.9;756.5
No;Male;33;FR;Yes;18,267.0;831.8
Yes;Male;42;GE;Yes;21,354.2;1,540.3
No;Male;36;IT;Yes;13,015.1;1,111.3
No;Male;37;DE;No;42,373.7;1,069.0
No;Male;37;GE;No;54,349.6;1,442.2
No;Male;40;SP;No;33,501.2;1,348.5
No;Male;47;FR;No;38,411.4;704.6
No;Male;42;FR;No;36,577.1;601.1
No;Male;45;HO;No;35,731.6;197.2
No;Male;35;GE;Yes;15,535.7;1,248.0
No;Female;35;HO;No;41,154.5;5.0
No;Male;38;HO;No;39,479.0;1,192.4
No;Female;42;FR;No;33,414.7;1,125.3
No;Male;36;DE;No;46,625.2;442.3
No;Male;45;GE;No;33,263.2;936.9
No;Female;51;PO;Yes;22,789.8;1,059.3
No;Male;35;SP;No;46,947.7;538.7
No;Male;46;GR;Yes;18,531.2;1,343.8
Yes;Male;33;DE;No;38,401.0;1,716.1
No;Male;36;GE;No;26,217.7;972.5
No;Male;35;UK;No;38,947.7;443.7
No;Male;50;FR;No;50,059.4;75.5
No;Male;34;UK;No;55,521.3;496.7
No;Male;38;IT;Yes;26,129.2;1,134.9
No;Male;38;FR;No;27,023.7;366.6
No;Female;40;HO;No;26,907.6;973.7
No;Male;39;IT;No;37,014.8;37.1
No;Male;41;UK;Yes;21,894.3;1,886.4
Yes;Female;32;FR;Yes;15,973.2;1,401.9
No;Male;59;FR;No;59,396.9;354.0
No;Female;36;UK;No;30,499.4;1,042.8
No;Male;48;UK;No;49,112.7;735.1
Yes;Male;37;FR;No;39,799.4;1,114.5
No;Male;36;GR;No;47,254.5;5.2
No;Male;47;GE;Yes;18,059.8;1,768.0
No;Male;40;HO;No;15,717.3;371.8
No;Male;36;GE;Yes;20,217.1;1,312.2
No;Male;37;FR;Yes;18,250.0;520.5
No;Female;33;FR;No;38,319.9;496.4
No;Male;42;FR;No;54,024.6;419.2
Yes;Male;38;FR;No;61,001.5;1,898.7
No;Female;37;FR;No;50,632.6;1,348.3
No;Male;36;DE;No;39,591.9;5.0
No;Male;45;FR;No;36,191.4;5.0
No;Male;42;GE;No;34,941.1;1,326.0
No;Male;37;UK;Yes;20,313.8;909.8
No;Male;37;IT;Yes;22,211.6;969.6
No;Female;39;GE;No;35,593.4;830.0
No;Male;40;UK;Yes;14,121.0;943.2
No;Male;38;DE;No;45,027.6;5.0
No;Female;38;FR;No;37,768.0;338.5
No;Male;39;UK;Yes;23,236.8;1,184.6
No;Male;35;DE;Yes;16,779.8;434.7
No;Female;43;FR;Yes;24,562.8;1,573.1
No;Female;45;GE;No;38,707.1;38.0
No;Male;42;SP;No;49,095.0;1,373.0
No;Male;49;HO;No;39,982.8;829.2
No;Female;44;SP;No;30,913.0;5.0
No;Female;39;FR;Yes;21,695.0;1,236.9
No;Male;43;SP;No;43,480.3;465.4
No;Male;45;GE;No;44,236.2;440.6
No;Female;36;UK;No;28,450.6;905.8
No;Female;44;SP;Yes;21,806.0;591.8
No;Male;37;FR;No;35,168.8;1,290.0
No;Male;37;GE;No;37,291.7;707.2
No;Male;47;UK;No;48,525.6;291.9
No;Male;47;UK;Yes;16,744.8;1,635.9
No;Male;42;GE;Yes;24,611.0;795.8
No;Male;40;UK;No;36,152.6;829.3
No;Female;40;GE;No;39,855.0;62.6
No;Male;47;SP;No;19,021.5;1,382.5
No;Male;41;GR;No;60,393.2;970.5
No;Male;46;DE;No;50,558.2;751.5
Yes;Female;33;GE;Yes;12,105.7;1,402.7
No;Male;37;GE;No;52,507.7;1,085.3
No;Male;42;IT;Yes;14,297.5;1,126.4
No;Male;40;FR;No;44,528.3;770.5
No;Male;46;GE;No;37,477.2;1,160.8
No;Male;37;UK;No;51,413.4;1,580.1
No;Male;34;GE;No;30,093.7;1,611.0
No;Female;42;IT;No;46,422.6;645.8
Yes;Male;28;IT;Yes;10,450.6;2,066.4
No;Male;42;UK;Yes;23,220.3;929.1
No;Female;34;GE;No;43,819.6;1,455.9
No;Female;53;GE;No;52,908.3;1,053.9
No;Male;39;UK;No;28,458.3;166.7
Yes;Female;37;GE;No;37,612.6;1,391.6
Yes;Male;39;SP;Yes;10,159.7;1,679.5
No;Male;38;GE;No;33,307.6;969.4
No;Male;40;UK;No;30,521.9;885.1
No;Male;39;IT;No;37,420.8;1,061.1
No;Male;37;GE;No;37,442.6;377.8
No;Male;36;FR;No;57,657.0;1,333.9
No;Male;36;FR;No;60,278.6;225.3
Yes;Male;37;GE;No;49,049.1;1,455.8
No;Male;44;FR;No;46,444.4;1,341.2
No;Male;38;GE;No;44,766.2;1,320.0
No;Female;44;FR;No;26,877.5;687.7
No;Male;37;HO;No;36,615.7;1,318.6
No;Female;54;FR;No;25,469.0;960.5
No;Female;37;IT;No;55,079.5;838.5
No;Male;39;GE;No;33,876.1;920.8
No;Female;36;FR;No;36,978.6;942.3
No;Female;35;FR;No;52,486.6;1,132.5
Yes;Male;30;UK;No;47,914.5;1,550.5
No;Male;42;FR;No;42,368.2;465.6
No;Male;44;SP;Yes;25,573.5;409.1
No;Male;49;IT;No;38,334.6;1,163.8
No;Male;37;GR;No;39,966.8;528.0
No;Female;42;UK;Yes;20,676.4;154.8
No;Male;42;UK;No;59,762.6;1,231.6
No;Female;35;GE;No;25,246.6;358.6
Yes;Female;36;GE;Yes;17,126.1;2,034.4
No;Male;37;IT;No;33,077.7;1,083.9
No;Female;40;UK;No;45,127.7;1,006.2
No;Male;40;UK;No;68,610.8;1,010.5
No;Male;44;SP;Yes;15,663.8;1,060.3
No;Female;39;FR;No;43,561.7;630.8
No;Female;41;UK;No;65,220.5;126.3
No;Male;55;GE;Yes;11,571.7;555.5
No;Male;36;GE;No;21,780.0;1,373.8
No;Female;40;SP;No;47,094.1;1,375.9
No;Female;43;UK;No;17,046.7;5.0
No;Male;41;GE;No;39,682.2;570.4
No;Male;45;UK;Yes;18,722.5;504.2
Yes;Male;37;SP;No;46,152.2;652.3
No;Male;37;SP;No;40,989.4;771.1
No;Male;35;IT;No;41,014.7;1,096.4
No;Female;50;SP;No;39,946.6;527.0
No;Female;45;GR;No;35,537.5;894.9
No;Male;55;FR;No;32,504.8;1,888.2
No;Female;49;IT;No;46,703.1;215.2
No;Male;35;FR;Yes;23,206.0;724.4
No;Male;41;GE;No;43,357.9;1,454.4
No;Male;50;GE;No;30,389.4;660.8
No;Male;41;GE;Yes;15,209.2;292.2
No;Male;35;HO;No;40,226.6;616.8
No;Female;35;DE;No;34,665.1;1,596.7
Yes;Male;40;FR;No;47,283.7;2,202.4
No;Female;39;FR;No;47,324.8;314.8
No;Male;45;SP;Yes;19,930.8;683.0
No;Male;43;FR;No;53,650.5;1,215.5
No;Male;43;FR;No;60,139.0;1,716.6
No;Male;40;UK;Yes;17,990.3;1,010.2
No;Male;48;FR;Yes;12,029.9;843.2
No;Female;39;UK;Yes;9,498.4;612.7
No;Male;33;FR;No;38,447.4;1,063.7
No;Male;45;IT;No;44,566.6;851.2
No;Male;35;GE;Yes;20,933.4;913.1
No;Male;45;GE;No;55,901.1;817.3
No;Male;41;GR;No;42,222.0;839.6
No;Female;40;UK;No;49,979.4;294.4
No;Male;46;FR;No;66,806.9;689.1
No;Male;40;GR;No;41,617.4;2,033.1
No;Male;40;UK;No;43,478.0;1,651.5
No;Female;37;GR;No;28,840.4;1,074.3
No;Male;42;IT;No;47,858.0;1,214.4
No;Male;43;DE;No;36,082.9;23.3
No;Male;43;FR;No;53,296.5;736.1
No;Male;35;SP;Yes;15,288.4;1,319.9
No;Male;35;GE;Yes;24,010.2;591.1
No;Male;36;UK;No;43,990.0;1,111.4
No;Male;33;FR;Yes;13,746.9;1,038.3
No;Female;40;FR;Yes;20,860.6;1,350.5
No;Female;40;UK;Yes;9,600.1;1,043.3
No;Male;33;GE;No;34,573.8;132.3
No;Male;45;SP;Yes;11,332.2;1,150.5
No;Male;50;GE;No;49,006.5;480.8
No;Male;42;SP;No;45,456.8;392.1
No;Female;44;UK;No;40,914.5;365.8
No;Male;40;GR;Yes;13,734.7;1,212.7
No;Male;53;GE;Yes;13,172.7;1,947.7
No;Female;41;FR;No;56,613.5;1,059.7
No;Male;42;FR;Yes;20,417.2;242.4
No;Male;41;UK;No;48,153.5;917.0
No;Male;38;DE;Yes;11,141.2;185.1
Yes;Male;31;IT;Yes;17,907.9;2,087.0
No;Male;38;PO;No;41,391.0;5.0
Yes;Male;36;FR;Yes;17,398.3;1,102.2
No;Male;42;IT;No;24,304.4;742.9
No;Male;35;FR;No;33,730.2;1,144.5
No;Male;34;UK;No;36,887.1;812.1
No;Male;41;FR;Yes;17,026.5;639.2
No;Male;49;FR;No;52,765.7;508.8
Yes;Male;32;UK;No;47,058.2;1,798.7
No;Male;38;SP;No;32,264.9;1,392.3
No;Male;42;GE;No;38,217.4;57.6
No;Male;40;GR;No;37,484.9;522.5
No;Female;43;DE;No;38,210.2;415.2
No;Female;40;HO;Yes;15,639.1;257.3
No;Female;41;FR;Yes;23,416.1;1,126.3
No;Female;39;UK;No;27,273.3;426.9
No;Male;39;GE;No;46,415.0;812.3
No;Female;42;SP;No;31,432.7;595.0
No;Male;40;SP;No;44,522.0;631.4
No;Male;39;GR;Yes;18,193.4;256.7
No;Female;36;SP;No;43,722.7;1,226.7
No;Male;37;SP;No;49,708.3;183.4
No;Female;46;GE;No;34,008.0;464.4
No;Female;42;UK;Yes;19,578.6;719.3
No;Male;43;SP;No;13,737.9;101.7
No;Male;36;IT;No;29,264.0;449.4
No;Male;39;FR;No;35,687.4;529.9
No;Male;32;GE;No;45,265.8;108.7
Yes;Female;35;UK;No;44,516.0;2,126.5
No;Male;35;FR;No;29,776.5;5.0
Yes;Male;34;IT;No;44,300.2;2,149.8
No;Female;37;FR;Yes;15,742.5;1,025.1
