MORA60;Edad;Ingreso_Mensual;Max_Calif;Nivel_Educativo;Situacion_Casa
1;38;1081.08;1;TECNICO;FAMILIAR
1;21;912.7;0;TECNICO;FAMILIAR
1;21;1900;0;PROFESIONAL;FAMILIAR
0;22;2100;0;SUPERIOR;FAMILIAR
1;22;3400;3;TECNICO;FAMILIAR
1;22;3400;3;TECNICO;FAMILIAR
1;23;1045.48;0;TECNICO;FAMILIAR
1;23;1394.18;0;TECNICO;FAMILIAR
1;23;1050;0;EDUCACION BASICA;FAMILIAR
1;24;925.08;0;TECNICO;PROPIA
0;25;6450;0;PROFESIONAL;FAMILIAR
1;25;4000;1;PROFESIONAL;FAMILIAR
1;25;2927.97;0;PROFESIONAL;FAMILIAR
1;25;1536.73;0;PROFESIONAL;FAMILIAR
1;26;820;0;PROFESIONAL;FAMILIAR
1;26;3150;0;TECNICO;PROPIA
1;26;2000;3;PROFESIONAL;PROPIA
1;26;1300;0;PROFESIONAL;PROPIA
1;27;781.4;0;EDUCACION BASICA;FAMILIAR
1;27;4200;2;PROFESIONAL;FAMILIAR
0;28;4500;0;PROFESIONAL;PROPIA
1;28;1400;0;PROFESIONAL;FAMILIAR
1;28;2150;0;PROFESIONAL;FAMILIAR
1;29;1800;0;PROFESIONAL;PROPIA
1;29;751.8;0;TECNICO;OTRAS
1;29;4000;0;PROFESIONAL;FAMILIAR
1;29;1655.5;0;PROFESIONAL;PROPIA
0;30;1036.9;0;TECNICO;PROPIA
0;30;2599.37;1;PROFESIONAL;FAMILIAR
1;30;2200;0;PROFESIONAL;FAMILIAR
1;30;965.2;0;TECNICO;FAMILIAR
1;30;1568.73;0;PROFESIONAL;FAMILIAR
1;30;893;2;PROFESIONAL;FAMILIAR
0;31;1131.14;3;TECNICO;FAMILIAR
1;31;700;0;PROFESIONAL;FAMILIAR
0;32;3800;0;PROFESIONAL;FAMILIAR
1;32;30000;2;TECNICO;PROPIA
1;32;795.74;0;EDUCACION BASICA;FAMILIAR
1;32;8000;2;PROFESIONAL;FAMILIAR
1;32;2200;0;TECNICO;PROPIA
1;32;2200;0;TECNICO;PROPIA
1;32;2000;1;PROFESIONAL;FAMILIAR
1;32;3500;0;PROFESIONAL;PROPIA
1;32;2000;0;TECNICO;FAMILIAR
0;33;5000;0;PROFESIONAL;FAMILIAR
0;33;3373.88;0;TECNICO;ALQUILADA
0;33;4103.59;0;PROFESIONAL;ALQUILADA
1;33;994;2;PROFESIONAL;FAMILIAR
1;33;30000;3;PROFESIONAL;PROPIA
1;33;1555.51;1;TECNICO;FAMILIAR
1;33;2500;1;TECNICO;FAMILIAR
0;34;1550;0;TECNICO;PROPIA
1;34;4870;2;TECNICO;FAMILIAR
